#e_p,R_H,f_stab
0.160,0.320,0.80000
0.160,0.330,0.85000
0.160,0.340,0.25000
0.160,0.350,0.25000
0.160,0.360,-0.05000
0.160,0.370,-0.05000
0.160,0.380,-0.05000
0.160,0.390,-0.05000
0.160,0.400,-0.05000
0.160,0.410,-0.05000
0.160,0.420,-0.05000
0.160,0.430,-0.05000
0.160,0.440,-0.05000
0.160,0.450,-0.05000
0.160,0.460,-0.05000
0.160,0.470,-0.05000
0.160,0.480,-0.05000
0.160,0.490,-0.05000
0.160,0.500,-0.05000
0.160,0.510,-0.05000
0.160,0.520,-0.05000
0.160,0.530,-0.05000
0.160,0.540,-0.05000
0.160,0.550,-0.05000
0.170,0.250,1.00000
0.170,0.260,1.00000
0.170,0.270,0.95238
0.170,0.280,0.15000
0.170,0.290,0.50000
0.170,0.300,0.80000
0.170,0.310,1.00000
0.170,0.320,0.80000
0.170,0.330,0.70000
0.170,0.340,0.45000
0.170,0.350,0.20000
0.170,0.360,-0.05000
0.170,0.370,-0.05000
0.170,0.380,-0.05000
0.170,0.390,-0.05000
0.170,0.400,-0.05000
0.170,0.410,-0.05000
0.170,0.420,-0.05000
0.170,0.430,-0.05000
0.170,0.440,-0.05000
0.170,0.450,-0.05000
0.170,0.460,-0.05000
0.170,0.470,-0.05000
0.170,0.480,-0.05000
0.170,0.490,-0.05000
0.170,0.500,-0.05000
0.170,0.510,-0.04762
0.170,0.520,-0.05000
0.170,0.530,-0.05000
0.170,0.540,-0.05000
0.170,0.550,-0.05000
0.180,0.250,1.00000
0.180,0.260,1.00000
0.180,0.270,0.90476
0.180,0.280,0.20000
0.180,0.290,0.35000
0.180,0.300,0.65000
0.180,0.310,1.00000
0.180,0.320,0.90000
0.180,0.330,0.45000
0.180,0.340,0.35000
0.180,0.350,0.35000
0.180,0.360,-0.05000
0.180,0.370,-0.05000
0.180,0.380,-0.05000
0.180,0.390,-0.05000
0.180,0.400,-0.05000
0.180,0.410,-0.05000
0.180,0.420,-0.05000
0.180,0.430,-0.05000
0.180,0.440,-0.05000
0.180,0.450,-0.05000
0.180,0.460,-0.05000
0.180,0.470,-0.05000
0.180,0.480,-0.05000
0.180,0.490,-0.05000
0.180,0.500,-0.05000
0.180,0.510,-0.05000
0.180,0.520,-0.05000
0.180,0.530,-0.05000
0.180,0.540,-0.05000
0.180,0.550,-0.05000
0.190,0.250,1.00000
0.190,0.260,1.00000
0.190,0.270,0.90476
0.190,0.280,0.20000
0.190,0.290,0.50000
0.190,0.300,0.65000
0.190,0.310,1.00000
0.190,0.320,0.50000
0.190,0.330,0.45000
0.190,0.340,0.30000
0.190,0.350,0.15000
0.190,0.360,-0.05000
0.190,0.370,-0.05000
0.190,0.380,-0.05000
0.190,0.390,-0.04762
0.190,0.400,-0.05000
0.190,0.410,-0.05000
0.190,0.420,-0.05000
0.190,0.430,-0.05000
0.190,0.440,-0.05000
0.190,0.450,-0.05000
0.190,0.460,-0.05000
0.190,0.470,-0.05000
0.190,0.480,-0.05000
0.190,0.490,-0.05000
0.190,0.500,-0.05000
0.190,0.510,-0.05000
0.190,0.520,-0.05000
0.190,0.530,-0.05000
0.190,0.540,-0.05000
0.190,0.550,-0.05000
0.200,0.250,1.00000
0.200,0.260,1.00000
0.200,0.270,0.90000
0.200,0.280,0.10000
0.200,0.290,0.23810
0.200,0.300,0.71429
0.200,0.310,0.90000
0.200,0.320,0.72727
0.200,0.330,0.50000
0.200,0.340,0.20000
0.200,0.350,0.05000
0.200,0.360,-0.05000
0.200,0.370,-0.05000
0.200,0.380,-0.05000
0.200,0.390,-0.05000
0.200,0.400,-0.05000
0.200,0.410,-0.05000
0.200,0.420,-0.05000
0.200,0.430,-0.05000
0.200,0.440,-0.05000
0.200,0.450,-0.05000
0.200,0.460,-0.05000
0.200,0.470,-0.05000
0.200,0.480,-0.05000
0.200,0.490,-0.05000
0.200,0.500,-0.05000
0.200,0.510,-0.05000
0.200,0.520,-0.05000
0.200,0.530,-0.05000
0.200,0.540,-0.05000
0.200,0.550,-0.05000
0.210,0.250,1.00000
0.210,0.260,1.00000
0.210,0.270,0.95238
0.210,0.280,0.10000
0.210,0.290,0.25000
0.210,0.300,0.55000
0.210,0.310,0.85000
0.210,0.320,0.85000
0.210,0.330,0.47619
0.210,0.340,0.35000
0.210,0.350,0.10000
0.210,0.360,-0.05000
0.210,0.370,-0.05000
0.210,0.380,-0.05000
0.210,0.390,-0.05000
0.210,0.400,-0.05000
0.210,0.410,-0.05000
0.210,0.420,-0.05000
0.210,0.430,-0.05000
0.210,0.440,-0.05000
0.210,0.450,-0.05000
0.210,0.460,-0.05000
0.210,0.470,-0.05000
0.210,0.480,-0.05000
0.210,0.490,-0.05000
0.210,0.500,-0.05000
0.210,0.510,-0.05000
0.210,0.520,-0.05000
0.210,0.530,-0.05000
0.210,0.540,-0.05000
0.210,0.550,-0.05000
0.220,0.250,1.00000
0.220,0.260,1.00000
0.220,0.270,0.80952
0.220,0.280,0.28571
0.220,0.290,0.15000
